Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Strategy,Thematic,Children,Party,Abstract,War,Family,Customizable
2016.0,2,4,20,8,27873,7.48,1.73,45672.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2014.0,1,4,120,12,8756,7.67,3.58,11163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,5,60,14,6061,7.88,2.27,9371.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,2,4,90,14,8494,7.69,3.28,11634.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,2,2,60,12,4438,8.0,2.25,8892.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991.0,4,4,60,10,13298,7.58,2.34,20236.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,2,5,60,8,71611,7.42,1.85,97463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,1,4,120,14,2860,8.45,2.88,5682.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012.0,1,5,60,14,19785,7.57,2.44,30186.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1999.0,2,5,60,12,19097,7.47,2.35,18460.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,2,5,45,7,101853,7.42,1.91,149337.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,1,6,180,14,12651,7.68,2.51,21612.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014.0,2,4,120,12,5727,7.84,4.35,7923.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,2,4,60,13,9152,7.71,2.53,14420.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,2,4,90,12,10928,7.58,3.38,10852.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,5,60,10,6442,7.84,2.05,13549.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,2,5,100,12,14555,7.53,3.25,15720.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.0,2,5,90,13,17873,7.52,2.83,19628.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,5,10,45,13,18198,7.57,1.69,24770.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,5,120,14,3990,8.16,2.42,7733.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016.0,2,8,20,8,22327,7.46,1.32,39966.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.0,3,5,90,10,9567,7.59,3.46,10386.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2003.0,2,2,60,9,7342,7.69,2.7,9380.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,2,6,90,13,10189,7.59,2.93,8909.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007.0,2,4,60,10,29509,7.41,2.33,32651.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,4,12,20,14,16001,7.5,1.6,23769.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,2,4,60,14,5083,7.89,2.57,6670.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016.0,1,4,90,10,13286,7.53,2.38,20000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,3,5,120,12,12828,7.54,3.37,12921.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,5,50,8,20425,7.44,2.25,26632.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986.0,2,7,360,14,4694,7.88,4.16,7037.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
